# secgurd community IOC list
# Auto-generated from abuse.ch MalwareBazaar recent export
# Updated: 2026-06-29 11:18:08 UTC
# Format: <sha256>,<malware family/signature>
#
0021ad2e28071688868bac8aff43e353007b52c04d4f46160cd064b247d25dc0,SilentNet
00acffeee60dc42abb70ff74518f5a42e9d3bb2dd14912a63e01830e97d42c4b,Mirai
016cc7ef5a4b175b20a4a149d16afbce2e1919bcb8420df984a415b778a8ba1e,MalwareBazaar
030b02ee930ccc6aea73af78613c596fb73ead75f08b2deb79821bebe31e9858,AgentTesla
039fa0f67bc01117564798b70ef5aa35446d3ae9176a17a4a5bb2a47d911c2e6,MalwareBazaar
03dea2fdbbece0bb95bcc7d1d0e46878d55f666efb087184a9a2bdde79cec5a2,Mirai
04e16f35916321dab115dab2fd960623dc43e29f2c24f2094b492e5b48ffb8c8,Mirai
0534c5c6d40ecb7b01e6e3844ffdd350cdc374cc8f0b265fe7b524f83c4a62a3,Prometei
056ad4072ab0babb9d473f876b3adcbcd1da9eb3fa6bbd5b7d7ca5e4451f0ef3,MalwareBazaar
059025a18f9d10482358b52b47bfc89c91d9d79796396dcab929ce5db321078f,MalwareBazaar
05a2e838e3fcc27b6dbd536d0c123d52e25b341464ed8b38f892f38d38fa6cfa,Mirai
064f5b90600f2d6f3eec4b451fd7f09df15ddab7ac4c7d84c6f8a1141ae99831,Mirai
06787088081f0addf88e08fdd3d7279847b83c3219d91f5c30bf822916a488ca,Mirai
06bb5f282a222f454503e08d9ae77340b936db6b15800af0550b13f87af1e432,MalwareBazaar
0772222da6439008a68e4b78a383d8f2d36196a9f3b7fa53827829d011748f61,MalwareBazaar
07ea890e0a1008446889251a0553428a54786ffd9b1b870d8f7730f0a6fdb306,Mirai
084d71df66c97d5f949f28a18ab81be412244bc831f6d52d5fbcdf0d42fc7b40,MalwareBazaar
092225646fba47f7bd157d451211304cf051ed40f6aa10add4013a69d219ac17,Mirai
0998a444bd04a05fb3229e7a2eb0cc6baecd3373f666f0d44883261c41437159,Mirai
09c4f8262c74179f6f9bf776866f8bc1873ed8ce6b5e258c03d30ea344ad7678,MalwareBazaar
09f9d5761ddd83f5830852c9958b35c2f379dbdb1f2ad8a35a8a442911726c28,ConnectWise
0a7f4beae49748f6aa4234b676b4b150a43c4ac4e3208deeb131bc984df09a70,SilentNet
0a9e7aac7014a3ec0a78b3885fec5d2163193a66a864633e688a20881d290b23,Mirai
0b1e0fe86deab29d27f001847d6a66e5828edea3f51fd9d515ca4e697fd1e69c,Mirai
0b6339f99db5722b83154b6d4c549332dab2ebce448755156f1ad1434e102e5d,MalwareBazaar
0b7ab84a7c3ff996e4e546558b91dfd289cb3888f45127f14b2f26a2090dba61,RemcosRAT
0be604a17a192a8c868cc6856a3a446e329fae4a7a7512da36ba564bbcb6e63c,Arsink
0befde76298e1cd14983e1ed0c5858c29a46381f45592acfc9143deca6fc6ecb,Adware.Generic
0cb1d3623ab8dd0e3647a6769fc9d793499745e055a8d5c90a1ce97ba7de14fd,ValleyRAT
0edf9db459375914d3708dd1b17d502c805dde90213f8681bdf3b78d1ae75884,Prometei
0eed7c83474a194e97e4ef254b96fd70b7bb2f6c6dd2594b88c7e7db9b3182ba,MalwareBazaar
0f5cec99c7f2baa151631d3501782d08ec8d0e193440f94205a44c872b095a84,MalwareBazaar
0f892c10920a8b041d9e24af7241bf52319fae42bd874a674d807db09d9e07fa,Mirai
10a5e2a5323cca1a9dfb64846cecfb2e026b22b3e040c8e3e9bf7cbceac26cc1,MalwareBazaar
113adcdfc3cce4648aef6cabf2bb7631a7b5e53fbc505f887a0bf2b130b88aa7,Mirai
115f33a4ba24ed64250f936909948c5f06a6aedc9e0e801998473e88cd4e0094,MalwareBazaar
11b731432946b1a88f1bee309734c1a9c9df1ae62d5a070ca8355db46bdf93a2,MalwareBazaar
11f50bd71ee026c644b2322d84b4a3e03b48455e34ebf478bd6afc32e0fdfbef,GCleaner
123450a779753bd0045cb82de9179cd7a3aad2d560b16a8201ca4eaa7da52ba3,Vidar
124e12c0588583abe92f259c9012cbd7555305f9664be62820a1260b7b9afd8f,MalwareBazaar
125e9eecc725a29649a8adba3feea2fcb2d5077d1ab2f57fc8e6a2c82d4bda1e,Mirai
12e3f75abc163b306a4ee61ae6597a197d9ece8a12ad476c1f9b6e9b487b292d,Mirai
13647f2703d3430569c4605cb86d7a423ee73a09f45b6e80875a4dd933bf3e30,WeedHack
1384db3bf2d4e17a814b198607c736ddcf0b0f1763fed72b232e0480643624d7,Mirai
14583f1f00cbdb8bf963178eb2ba7d4fa7c1f31e02b83186ca965005b9a65c1d,Mirai
147c4f3da4b13ba13048e762128aeaf1270a9c9a47c7caf481feb947e4428794,Vidar
16240f7360bd3a4f85ad890be3ef3aac629f5391dde3be25a5354adc93616264,AgentTesla
186516a0dafa253b0182aa745e48cb23623a907cae922b7d1f802795ada7b888,MalwareBazaar
18e57f5792c996a533aed3495be74f7d8a25ca7a14ac57b56ef0f3bb05505a7d,Mirai
1955ce730b08001a4f19ea8f38c4d20609dbccdba0bd7f8e0691f48a480c0ec6,Mirai
1957781d3d4f6f74007ed370b81c14f22254598b55a0e335afa07d677042449b,Mirai
1a365ca54dd27d2d245aeee9f7d764270a8f3504e330ff95d1a1184e72abe68c,MalwareBazaar
1a7c957b107b4eccfe3c079472b457fd3c13068bc6b65c69c1bdf536d353bf8a,Mirai
1a9edf1bde78a1a3f3beeb4e55a96f9b0bc4fe7d64e8fd2806386c26c674a83f,Mirai
1ae72c2f58378f765357c4d42ba7352082beee1651923009e79909415a8fbdad,Konfety
1bb3430faf14bd1f26412987dd4e173eecef2b685bc1d086d1b79fa19e0efb50,MalwareBazaar
1d0f3d76d27078e6a9027a96069f65a653055aa7989cef30ae250ceb8fac7b2e,ACRStealer
1d1fd212a97d237460794e03af175d054ea1c47121a9ebd8590f60a1552f875c,MalwareBazaar
1d22a3fdb6bdd235aad430ec40211c82089b72b9c5d7b39c548ac90b334b43b2,Mirai
