# secgurd community IOC list
# Auto-generated from abuse.ch MalwareBazaar recent export (Windows PE + scripts only)
# Updated: 2026-08-08 07:04:35 UTC
# Format: <sha256>,<malware family/signature>
#
025d859dbc0b8811ed5e8590ea238cce6a932166eee0b6eb3a6744941c6fccfc,ConnectWise
030c3104e36b6bdb5838a195543eb1b6c06b1c91602d9779d83636df48cb6e79,LxBaseRAT
03afc80755453b8b23d9f9e78d4ed1c269180d7053a675e43b1ac0cc0a9ef4a0,MalwareBazaar
03c07c02503cd44bb8119b9e2f74111cb8c75685b67a2744af27c7b9f62febc1,XWorm
0466815759a6b6ab8ead1eecfa7e55ddf3463f48a38566088ca46e8d280c3d6f,MassLogger
06794e18354508e7947328b6592347a0a813a062bf3510204dab94af03dc4ea9,AgentTesla
07b1a32c53c1efab24f54151b1158bad7404374f0dfdee558e7ad80ad278575a,RemcosRAT
08db2e7df8672de7bb3ac6db1445378d79d2b86de7339894908d204cea65befc,MalwareBazaar
09fa1e083cb809575a36b9d8cc90163d8c6d989b0f53db6f36c4742bfeb10e12,MalwareBazaar
0b7c5c8f57b22190bcf2b9948b2316d5bfcdb2e8c6b542489a8b29fecda6ac48,XWorm
0d69fb6ecc1ccb82222aeff6263f597f5a59b98674997e3b34bf6c4253bd529a,AgentTesla
0d71bedbee7358b2ef19cff4d8293749caba871a6470983f1f07e3901aeb2398,PureLogsStealer
0e9789bcef41a88ad38dd66c35cf9526770b50f0c44526caff71054c4427bc54,Formbook
10505f035b1e6569cb22d42614829e85fd432e014418f457e2e1dfc31dcd505c,Prometei
105cf4a05bcce8dcd10a1288b6e2310ad27860153676d7dae3839f03ca388493,MalwareBazaar
1060e2c174b39c21614f8d8ad5ef0828905cb6102a7d5f6d6a1b2de44a32cf9d,VIPKeylogger
1162b0a85a471b942f594b6707c79652b49d0d349e4aca2e0779c42577291ec3,STRRAT
12411713c6d011f83666bd855708a673e8f3d98e3b9555a3cc10857a74e47a58,ConnectWise
12fb4616c7acde29a061b969182728d99e736cf158c7dfa250d381f7b4515129,AsyncRAT
135732f938ca6b6e1fd1974ba172665d3c474b5346e035ea24c37b03500fb4e9,njrat
140aca6ee1b19a24e5056fbf3049e5fdd54b1b84cb4390fcb3cec785ac0c9c93,RemcosRAT
14cfc813ef030e8b3f0e85fe8c140e1b746b52c76fff8352d0d92eb46f725470,ValleyRAT
1785db0cee90d76004983b741c8a059d9e1b3811765723ec38bff1da10c4e5f3,RemcosRAT
18df0ec2efba162d1774b1bf2233c2c24934d2bda49769e814f24d530a795c38,Stealc
19ed9a9a724758fb9cd41e3a0ae8ecf424ae62bbeae61272d6a9a9d31de350ed,MalwareBazaar
1a191d57ec8e1268d084676a4ebfeaa19ff97e63ffae740dca6d0b041faf8740,ConnectWise
1b4b340e5f010c154cedfcdd43679d603fea760521c5f007172cea0d76509a7d,DarkCloud
1b873c981db25d16bd539aef3952a2e869dd55c27e0937064cafc5dafb70c79a,PureRAT
1cc5e6cd1203b4bc40ba3ab4400d602e6a16251868455684f200b2903dbdbdd6,Vjw0rm
1d5322c50ac0e03e33c503a438fb9a8314f717c4a5456bee6b7c4459e1c79670,Formbook
1d9a1b096c4ae71f9c0403802667ea0b3492de2d57281a6d4145ba5758e74bad,ConnectWise
1e3dd6caa009c9eac37fe6ab54fb27f84e34c48d1c28b2bd93612ba44ae14b93,ConnectWise
1e5be4fab2e11a5a450d10e056be635d6695e10ba02933db46f49d2631c7d910,CoinMiner
1e9fba96624c720a156751feee1820de1bb63cdb231c0fb19c29cf782240c83a,AgentTesla
1ebe448239c0ce1a085496842a85e6824a8f746e3057564c3cc7af895c371474,MalwareBazaar
1fce06baa55f455053a1d5094513a1d509d14cc0270241d329d287feb9a66820,SalatStealer
2055a6d22f882f79211a9209556b9d2e14498da87a112007e5fe0d3bf5cbd2fb,NanoCore
212199a413252df5ad9be87d8070083d74a9f3e7919b3c005db2ed7fe6793343,Stealc
21b023d38875a3c3cb1e406c33a9d927556feb53e232ffc39f9ac17e2976b803,Formbook
24662333e3c68aad11b140421caa6d5ad883ff9d3d992c5b04fe1e0fc11fd9bb,MalwareBazaar
254412f2ca69b69f8b686f874374e2584aaf55ad5c3e8ed6eddfa69f3fe6ea2b,RustyStealer
2556da51d1b4d0fd2616df8d77a1c557095bd0b41b76432039ed9ebca058a2c2,MalwareBazaar
26462fea1501648c12c421b7ae9087b37f9948c54db73b4d3f065db8608e0a39,XWorm
291c41c2b004ffbdec29311ff4336c86b1ca132e3379a5949042c01cd4aca3fd,PhantomStealer
295ea6d0c0e8948edec19dea2b6778d9b21cd52c2f1c29efe30462801f4efbac,WannaCry
2a6ebbf3901296ecc772eaed7e22b5cfa0e2c316323ac5f74253f63b77823f31,Phorpiex
2a73cad53d7b6ee5df6fce0d9f5761891c6bf42d674130dab5a634ffcd9b3423,RemcosRAT
2b45aeb88bf38dd8dfbb13390c5b0f5efd6a298a6f967ac773cf47b2489ee5ab,AsyncRAT
2f029858b8ecca8fb6c156eb2d046a2463e8b67d356c1003e5567339681a71be,RemusStealer
2ffc393631f3cfcaaf89fb52a33681b9b6cec8104aa2b1863bafe15986f6c2f5,MalwareBazaar
30064a241c39541e287ccbe04f1027a037a10918528384479d27b53a23c2b1aa,MalwareBazaar
31700814400f94fee4d2b9bff13d7423c3cbfb9578a05ccf4a39a6df57d2639f,RustyStealer
317d93f4c82ab3761f02d8ff2380bd07adcf23f24ba6a88ac63d281069c2ba59,MassLogger
3260d94ea8b51c306f506eff40997055b9cefd0a79c2b6fda4c8c8aea8e8dbc1,AdaptixC2
33a236fda76a3d96c6d5c7057a946fd8a5f78e86fc63de9de70a809e3a362533,AgentTesla
35102c739b5a1c52f6e33ed0456b207e0a206a3cd5ba59f5efe3ae85918b3658,ConnectWise
36664f0225595e160bc93b3e3891cb84bcaa21fe1653e6485dea0a0bc3bed97e,MalwareBazaar
368c2dd0c55c29b81ee53295d553f2c6f4509b99d5db2838df43238cdc76f309,ConnectWise
368c897a66748451a53ac55e9d9844d7a1f4d9e961bbeddddcad844a0a5e21e5,AgentTesla
370497b3e639e4fb260ed0139b8ec18b2c12fe914cbc056976a4bd10fb8d4aea,MalwareBazaar
38f6528d14eccac7905abc380c9de8b1f67766c15d2faaea8efc44d7b25c4b03,Formbook
39c69cb0f29f8e9f41fa305cb1adf34762e5d8131ae348553b089377236c4f38,CobaltStrike
3a2584e9d358beacb1c65df6697c26e08d3bbd40febb1f4d94e3bc615b55a126,MalwareBazaar
3aa97c40f9829f8211dc4cd9b61dfee0f49505d0199358f1a2d52184702130c9,Formbook
3caaa5e8cab6d0ec2932ea20fb71301eeea20ea16ea18d4cde08f8130a59fd25,ConnectWise
3ddce244c308f1ce27307b16467f29bd7f3e2333c535cb4a0c5d93a0b7296230,Formbook
3e9b5fcc1f49b8b0fe84c9f78b15499ab39e16d8a353f21ef6816c8b82744656,LxBaseRAT
4050513fd2c0e7872d037adc911283a8362a5173ff1910ff5eb8890b980e7994,CoinMiner
4115dfac942c3e99fa356fcd89cb30ecbeb8156da57b1fb0d8c8270699b6417b,RemusStealer
415ce6602e0497152674528dd3e4c580aa151127380d6582880a1ccea60f9e55,Formbook
416e7d7ed1d47f077b3630436bdbeaa43a669b536f6982efe54260492d4fb469,MalwareBazaar
4410281c659cb2fe957d7f192d217f4642127827674af45afcd24329fe13bab5,Mofksys
44ccb0b2c6f16f1223735532aa70d7986e3b440a45170c7015a1982748638593,Formbook
450b6c8ffce56ab8cb90010bdcfd25b20433ab6a2383785090d300b1f352bd9f,XWorm
45f245b964952e7ab59f50597ba1458ea8a3dfe42f0bc9a12696af02a810fbac,XenoRAT
